"specificEpithet","scientificName","day","month","year","latitude","longitude","catalogNumber","institutionCode","source"
"albescens","Tibouchina albescens Cogn. ex Glaz.",21,3,2012,-14.071511,-47.391086,"188216","UNICAMP","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",10,2,2006,-15.85,-52.267,"81657","UFPR","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",13,12,2000,-13.566944,-45.084722,"39999","UFU","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",14,3,1995,-14.133333,-47.45,"100450","UnB","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",22,9,1995,-14.55,-60.916667,"968717","MO","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",21,5,1994,-13.766667,-47.5,"3513","UnB","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",30,10,1993,-14.58194,-60.84111,"935418","MO","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",8,2,1981,-14.116667,-47.516667,"100378","UnB","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",7,2,1981,-14.116667,-47.516667,"100377","UnB","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",NA,1,1980,-14.116667,-47.516667,"100376","UnB","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",14,2,1979,-14.116667,-47.5,"100466","UnB","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",3,2,1979,-14,-47,"195144","Instituto de Botânica, IBT","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",3,2,1979,-14.116667,-47.516667,"100467","UnB","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",5,2,1979,-14.116667,-47.516667,"100379","UnB","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",6,3,1973,-14.104,-47.4658,"00941559","NY","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",5,3,1973,-14.1103,-47.5103,"00941558","NY","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",18,3,1973,-13.8162297263192,-47.2651251433805,"00941562","NY","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",7,3,1973,-14.0755,-47.4754,"00941560","NY","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",21,3,1969,-14.116667,-47.516667,"100374","UnB","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",21,3,1969,-14.1167,-47.5167,"00941566","NY","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",23,3,1968,-14.38,-47.53,"00941564","NY","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",13,2,1966,-14,-47,"106515","UnB","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",13,2,1966,-14.1167,-47.52596,"00941563","NY","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",8,2,1966,-14.1167,-47.65562,"00941693","NY","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",NA,NA,NA,-14.13333,-47.45,"19516","Cenargen","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",NA,NA,NA,-14.116667,-47.516667,"100380","UnB","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",NA,NA,NA,-13.56694,-48.08472,"40176","Cenargen","gbif"
"albescens","Tibouchina albescens Cogn. ex Glaz.",NA,NA,NA,-14.116667,-47.516667,"100381","UnB","gbif"
"albescens","Tibouchina albescens",5,3,1973,-14.1103,-47.5103,"941558","NYBG","spLink"
"albescens","Tibouchina albescens",6,3,1973,-14.104,-47.4658,"941559","NYBG","spLink"
"albescens","Tibouchina albescens",7,3,1973,-14.0755,-47.4754,"941560","NYBG","spLink"
"albescens","Tibouchina albescens",18,3,1973,-13.81255,-47.2647,"941562","NYBG","spLink"
"albescens","Tibouchina albescens",13,2,1966,-14.1167,-47.52596,"941563","NYBG","spLink"
"albescens","Tibouchina albescens",23,3,1968,-14.38,-47.53,"941564","NYBG","spLink"
"albescens","Tibouchina albescens",21,3,1969,-14.1167,-47.5167,"941566","NYBG","spLink"
"albescens","Tibouchina albescens",8,2,1966,-14.1167,-47.65562,"941693","NYBG","spLink"
"albescens","Tibouchina albescens",NA,NA,NA,-14.13333,-47.45,"19516","Cenargen","spLink"
"albescens","Tibouchina albescens",NA,NA,NA,-13.56694,-48.08472,"40176","Cenargen","spLink"
"albescens","Tibouchina albescens",10,2,2006,-15.85,-52.267,"81657","UFPR","spLink"
"albescens","Tibouchina albescens",13,12,2000,-13.566944,-45.084722,"39999","UFU","spLink"
"albescens","Tibouchina albescens",21,3,1969,-14.116667,-47.516667,"100374","UnB","spLink"
"albescens","Tibouchina albescens",NA,1,1980,-14.116667,-47.516667,"100376","UnB","spLink"
"albescens","Tibouchina albescens",7,2,1981,-14.116667,-47.516667,"100377","UnB","spLink"
"albescens","Tibouchina albescens",8,2,1981,-14.116667,-47.516667,"100378","UnB","spLink"
"albescens","Tibouchina albescens",5,2,1979,-14.116667,-47.516667,"100379","UnB","spLink"
"albescens","Tibouchina albescens",NA,NA,NA,-14.116667,-47.516667,"100380","UnB","spLink"
"albescens","Tibouchina albescens",NA,NA,NA,-14.116667,-47.516667,"100381","UnB","spLink"
"albescens","Tibouchina albescens",14,3,1995,-14.133333,-47.45,"100450","UnB","spLink"
"albescens","Tibouchina albescens",14,2,1979,-14.116667,-47.5,"100466","UnB","spLink"
"albescens","Tibouchina albescens",3,2,1979,-14.116667,-47.516667,"100467","UnB","spLink"
"albescens","Tibouchina albescens",13,2,1966,-14,-47,"106515","UnB","spLink"
"albescens","Tibouchina albescens",21,5,1994,-13.766667,-47.5,"3513","UnB","spLink"
"albescens","Tibouchina albescens",1,2,1999,-14.13249969,-47.50999832,"8215","UnB","spLink"
"albescens","Tibouchina albescens",3,2,1979,-14,-47,"195144","IBt","spLink"
"albescens","Tibouchina albescens",20,2,1991,-14.13249969,-47.50999832,"248736","IBt","spLink"
"albescens","Tibouchina albescens",21,3,2012,-14.071511,-47.391086,"188216","UNICAMP","spLink"
"albescens","Tibouchina albescens",15,2,1990,-12.9314003,-46.93830109,"19578","UTFPR","spLink"
"albescens","MELASTOMATACEAE Tibouchina albescens Cogn. ex Glaz.",10,2,2006,-15.85,-52.2669444444444,NA,NA,"reflora"
"albescens","MELASTOMATACEAE Tibouchina albescens Cogn. ex Glaz.",13,12,2000,-13.34,-45.0505555555556,NA,NA,"reflora"
"albescens","MELASTOMATACEAE Tibouchina albescens Cogn. ex P. J. F. Guimarães, A. L. F. Oliveira & R. Romero",14,3,1995,-14.1333333333333,-47.45,NA,NA,"reflora"
"albescens","MELASTOMATACEAE Tibouchina albescens Cogn. ex P. J. F. Guimarães, A. L. F. Oliveira & R. Romero",21,3,2012,-14.1430555555556,-47.7030555555556,NA,NA,"reflora"
"albescens","MELASTOMATACEAE Tibouchina albescens Cogn. ex P. J. F. Guimarães, A. L. F. Oliveira & R. Romero",21,3,2012,-14.1897222222222,-47.7744444444444,NA,NA,"reflora"
"albescens","MELASTOMATACEAE Tibouchina albescens Cogn. ex P. J. F. Guimarães, A. L. F. Oliveira & R. Romero",13,12,2000,-13.5669444444444,-48.0847222222222,NA,NA,"reflora"
"albescens","MELASTOMATACEAE Tibouchina albescens Cogn. ex P. J. F. Guimarães, A. L. F. Oliveira & R. Romero",14,2,1966,-14,-47,NA,NA,"reflora"
